@type,@id,meta:expandedURI,rdfs:label / skos:prefLabel,rdfs:comment / skos:definition,dct:description,vann:usageNote,vs:term_status,owl:equivalentClass / owl:equivalentProperty / skos:exactMatch,rdfs:subClassOf / rdfs:subPropertyOf / skos:broader,schema:domainIncludes / skos:inScheme,schema:rangeIncludes,meta:targetScheme,skos:topConceptOf,skos:relatedMatch,skos:broadMatch,skos:narrowMatch,meta:domainFor,skos:hasTopConcept,meta:hasConcept
rdf:Property,ceterms:revocation,https://purl.org/ctdl/terms/revocation,Revocation,Entity that describes the processes and criteria for ending (revoking) the validity or operation of an awarded credential.,"Generally, revocation applies to certifications and licenses; however, it may also apply to other types of credential under extraordinary circumstances.",,vs:stable,,,"ceterms:AcademicCertificate
ceterms:ApprenticeshipCertificate
ceterms:AssociateDegree
ceterms:AssociateOfAppliedArtsDegree
ceterms:AssociateOfAppliedScienceDegree
ceterms:AssociateOfArtsDegree
ceterms:AssociateOfScienceDegree
ceterms:BachelorDegree
ceterms:BachelorOfArtsDegree
ceterms:BachelorOfScienceDegree
ceterms:Badge
ceterms:BasicTechnicalCertificate
ceterms:Certificate
ceterms:CertificateOfCompletion
ceterms:CertificateOfParticipation
ceterms:Certification
ceterms:Credential
ceterms:Degree
ceterms:DigitalBadge
ceterms:Diploma
ceterms:DoctoralDegree
ceterms:GeneralEducationDevelopment
ceterms:GeneralEducationLevel1Certificate
ceterms:GeneralEducationLevel2Certificate
ceterms:HigherEducationLevel1Certificate
ceterms:HigherEducationLevel2Certificate
ceterms:JourneymanCertificate
ceterms:License
ceterms:MasterCertificate
ceterms:MasterDegree
ceterms:MasterOfArtsDegree
ceterms:MasterOfScienceDegree
ceterms:MicroCredential
ceterms:OpenBadge
ceterms:PostBaccalaureateCertificate
ceterms:PostMasterCertificate
ceterms:PreApprenticeshipCertificate
ceterms:ProfessionalCertificate
ceterms:ProfessionalDoctorate
ceterms:ProficiencyCertificate
ceterms:QualityAssuranceCredential
ceterms:ResearchDoctorate
ceterms:SecondaryEducationCertificate
ceterms:SecondarySchoolDiploma
ceterms:SpecialistDegree
ceterms:TechnicalLevel1Certificate
ceterms:TechnicalLevel2Certificate
ceterms:TechnicalLevel3Certificate
ceterms:WorkBasedLearningCertificate",ceterms:RevocationProfile,,,,,,,,
rdf:Property,ceterms:revocationCriteria,https://purl.org/ctdl/terms/revocationCriteria,Revocation Criteria,Webpage or online document that provides information about the removal criteria for an awarded credential.,,,vs:stable,,,ceterms:RevocationProfile,xsd:anyURI,,,,,,,,
rdf:Property,ceterms:revocationCriteriaDescription,https://purl.org/ctdl/terms/revocationCriteriaDescription,Revocation Criteria,Textual description providing information about the removal criteria for an awarded credential.,,,vs:stable,,,ceterms:RevocationProfile,rdf:langString,,,,,,,,
rdf:Property,ceterms:revocationProcess,https://purl.org/ctdl/terms/revocationProcess,Revocation Process,Entity describing the process by which the credential is revoked.,,,vs:stable,,,"ceterms:AcademicCertificate
ceterms:ApprenticeshipCertificate
ceterms:AssociateDegree
ceterms:AssociateOfAppliedArtsDegree
ceterms:AssociateOfAppliedScienceDegree
ceterms:AssociateOfArtsDegree
ceterms:AssociateOfScienceDegree
ceterms:BachelorDegree
ceterms:BachelorOfArtsDegree
ceterms:BachelorOfScienceDegree
ceterms:Badge
ceterms:BasicTechnicalCertificate
ceterms:Certificate
ceterms:CertificateOfCompletion
ceterms:CertificateOfParticipation
ceterms:Certification
ceterms:Credential
ceterms:CredentialOrganization
ceterms:Degree
ceterms:DigitalBadge
ceterms:Diploma
ceterms:DoctoralDegree
ceterms:GeneralEducationDevelopment
ceterms:GeneralEducationLevel1Certificate
ceterms:GeneralEducationLevel2Certificate
ceterms:HigherEducationLevel1Certificate
ceterms:HigherEducationLevel2Certificate
ceterms:JourneymanCertificate
ceterms:License
ceterms:MasterCertificate
ceterms:MasterDegree
ceterms:MasterOfArtsDegree
ceterms:MasterOfScienceDegree
ceterms:MicroCredential
ceterms:OpenBadge
ceterms:Organization
ceterms:PostBaccalaureateCertificate
ceterms:PostMasterCertificate
ceterms:PreApprenticeshipCertificate
ceterms:ProfessionalCertificate
ceterms:ProfessionalDoctorate
ceterms:ProficiencyCertificate
ceterms:QACredentialOrganization
ceterms:QualityAssuranceCredential
ceterms:ResearchDoctorate
ceterms:SecondaryEducationCertificate
ceterms:SecondarySchoolDiploma
ceterms:SpecialistDegree
ceterms:TechnicalLevel1Certificate
ceterms:TechnicalLevel2Certificate
ceterms:TechnicalLevel3Certificate
ceterms:WorkBasedLearningCertificate",ceterms:ProcessProfile,,,,,,,,
rdf:Property,ceterms:revokedBy,https://purl.org/ctdl/terms/revokedBy,Revoked By,Organization or person that handles revocation of an awarded credential due to violations or failure to renew.,,,vs:stable,,,"ceterms:AcademicCertificate
ceterms:ApprenticeshipCertificate
ceterms:AssociateDegree
ceterms:AssociateOfAppliedArtsDegree
ceterms:AssociateOfAppliedScienceDegree
ceterms:AssociateOfArtsDegree
ceterms:AssociateOfScienceDegree
ceterms:BachelorDegree
ceterms:BachelorOfArtsDegree
ceterms:BachelorOfScienceDegree
ceterms:Badge
ceterms:BasicTechnicalCertificate
ceterms:Certificate
ceterms:CertificateOfCompletion
ceterms:CertificateOfParticipation
ceterms:Certification
ceterms:Credential
ceterms:Degree
ceterms:DigitalBadge
ceterms:Diploma
ceterms:DoctoralDegree
ceterms:GeneralEducationDevelopment
ceterms:GeneralEducationLevel1Certificate
ceterms:GeneralEducationLevel2Certificate
ceterms:HigherEducationLevel1Certificate
ceterms:HigherEducationLevel2Certificate
ceterms:JourneymanCertificate
ceterms:License
ceterms:MasterCertificate
ceterms:MasterDegree
ceterms:MasterOfArtsDegree
ceterms:MasterOfScienceDegree
ceterms:MicroCredential
ceterms:OpenBadge
ceterms:PostBaccalaureateCertificate
ceterms:PostMasterCertificate
ceterms:PreApprenticeshipCertificate
ceterms:ProfessionalCertificate
ceterms:ProfessionalDoctorate
ceterms:ProficiencyCertificate
ceterms:QualityAssuranceCredential
ceterms:ResearchDoctorate
ceterms:SecondaryEducationCertificate
ceterms:SecondarySchoolDiploma
ceterms:SpecialistDegree
ceterms:TechnicalLevel1Certificate
ceterms:TechnicalLevel2Certificate
ceterms:TechnicalLevel3Certificate
ceterms:WorkBasedLearningCertificate","ceterms:CredentialOrganization
ceterms:Organization
ceterms:QACredentialOrganization",,,,,,,,
rdf:Property,ceterms:revokedIn,https://purl.org/ctdl/terms/revokedIn,Revoked In,"Region or political jurisdiction such as a state, province or locale in which the credential can be revoked.",,,vs:stable,,,"ceterms:AcademicCertificate
ceterms:ApprenticeshipCertificate
ceterms:AssociateDegree
ceterms:AssociateOfAppliedArtsDegree
ceterms:AssociateOfAppliedScienceDegree
ceterms:AssociateOfArtsDegree
ceterms:AssociateOfScienceDegree
ceterms:BachelorDegree
ceterms:BachelorOfArtsDegree
ceterms:BachelorOfScienceDegree
ceterms:Badge
ceterms:BasicTechnicalCertificate
ceterms:Certificate
ceterms:CertificateOfCompletion
ceterms:CertificateOfParticipation
ceterms:Certification
ceterms:Credential
ceterms:Degree
ceterms:DigitalBadge
ceterms:Diploma
ceterms:DoctoralDegree
ceterms:GeneralEducationDevelopment
ceterms:GeneralEducationLevel1Certificate
ceterms:GeneralEducationLevel2Certificate
ceterms:HigherEducationLevel1Certificate
ceterms:HigherEducationLevel2Certificate
ceterms:JourneymanCertificate
ceterms:License
ceterms:MasterCertificate
ceterms:MasterDegree
ceterms:MasterOfArtsDegree
ceterms:MasterOfScienceDegree
ceterms:MicroCredential
ceterms:OpenBadge
ceterms:PostBaccalaureateCertificate
ceterms:PostMasterCertificate
ceterms:PreApprenticeshipCertificate
ceterms:ProfessionalCertificate
ceterms:ProfessionalDoctorate
ceterms:ProficiencyCertificate
ceterms:QualityAssuranceCredential
ceterms:ResearchDoctorate
ceterms:SecondaryEducationCertificate
ceterms:SecondarySchoolDiploma
ceterms:SpecialistDegree
ceterms:TechnicalLevel1Certificate
ceterms:TechnicalLevel2Certificate
ceterms:TechnicalLevel3Certificate
ceterms:WorkBasedLearningCertificate",ceterms:JurisdictionProfile,,,,,,,,
rdf:Property,ceterms:revokes,https://purl.org/ctdl/terms/revokes,Revokes,Credential type that can be invalidated or retracted by the awarding agent.,The value of ceterms:revokes should be one of the specific subclasses of ceterms:Credential.,,vs:stable,,,"ceterms:CredentialOrganization
ceterms:Organization
ceterms:QACredentialOrganization","ceterms:AcademicCertificate
ceterms:ApprenticeshipCertificate
ceterms:AssociateDegree
ceterms:AssociateOfAppliedArtsDegree
ceterms:AssociateOfAppliedScienceDegree
ceterms:AssociateOfArtsDegree
ceterms:AssociateOfScienceDegree
ceterms:BachelorDegree
ceterms:BachelorOfArtsDegree
ceterms:BachelorOfScienceDegree
ceterms:Badge
ceterms:BasicTechnicalCertificate
ceterms:Certificate
ceterms:CertificateOfCompletion
ceterms:CertificateOfParticipation
ceterms:Certification
ceterms:Credential
ceterms:Degree
ceterms:DigitalBadge
ceterms:Diploma
ceterms:DoctoralDegree
ceterms:GeneralEducationDevelopment
ceterms:GeneralEducationLevel1Certificate
ceterms:GeneralEducationLevel2Certificate
ceterms:HigherEducationLevel1Certificate
ceterms:HigherEducationLevel2Certificate
ceterms:JourneymanCertificate
ceterms:License
ceterms:MasterCertificate
ceterms:MasterDegree
ceterms:MasterOfArtsDegree
ceterms:MasterOfScienceDegree
ceterms:MicroCredential
ceterms:OpenBadge
ceterms:PostBaccalaureateCertificate
ceterms:PostMasterCertificate
ceterms:PreApprenticeshipCertificate
ceterms:ProfessionalCertificate
ceterms:ProfessionalDoctorate
ceterms:ProficiencyCertificate
ceterms:QualityAssuranceCredential
ceterms:ResearchDoctorate
ceterms:SecondaryEducationCertificate
ceterms:SecondarySchoolDiploma
ceterms:SpecialistDegree
ceterms:TechnicalLevel1Certificate
ceterms:TechnicalLevel2Certificate
ceterms:TechnicalLevel3Certificate
ceterms:WorkBasedLearningCertificate",,,,,,,,
rdf:Property,ceterms:rightAction,https://purl.org/ctdl/terms/rightAction,Right Action,Action performed on the right source; select from an existing enumeration of such types.,,,vs:unstable,,,ceterms:Constraint,skos:Concept,ceterms:ArrayOperationCategory,,,,,,,
rdf:Property,ceterms:rightSource,https://purl.org/ctdl/terms/rightSource,Right Source,Right hand parameter of a constraint.,,,vs:unstable,,,ceterms:Constraint,"rdf:Property
rdfs:Class
rdfs:Literal
skos:Concept",,,,,,,,
rdf:Property,ceterms:sameAs,https://purl.org/ctdl/terms/sameAs,Same As,Another source of information about the entity being described.,"Other sources may include descriptions of entities in open databases such as DBpedia, Wikidata, the Credential Engine Registry, or other platforms.",,vs:stable,,,"ceterms:AcademicCertificate
ceterms:ApprenticeshipCertificate
ceterms:AssessmentProfile
ceterms:AssociateDegree
ceterms:AssociateOfAppliedArtsDegree
ceterms:AssociateOfAppliedScienceDegree
ceterms:AssociateOfArtsDegree
ceterms:AssociateOfScienceDegree
ceterms:BachelorDegree
ceterms:BachelorOfArtsDegree
ceterms:BachelorOfScienceDegree
ceterms:Badge
ceterms:BasicTechnicalCertificate
ceterms:Certificate
ceterms:CertificateOfCompletion
ceterms:CertificateOfParticipation
ceterms:Certification
ceterms:Course
ceterms:Credential
ceterms:CredentialOrganization
ceterms:Degree
ceterms:DigitalBadge
ceterms:Diploma
ceterms:DoctoralDegree
ceterms:GeneralEducationDevelopment
ceterms:GeneralEducationLevel1Certificate
ceterms:GeneralEducationLevel2Certificate
ceterms:HigherEducationLevel1Certificate
ceterms:HigherEducationLevel2Certificate
ceterms:Job
ceterms:JourneymanCertificate
ceterms:LearningOpportunityProfile
ceterms:LearningProgram
ceterms:License
ceterms:MasterCertificate
ceterms:MasterDegree
ceterms:MasterOfArtsDegree
ceterms:MasterOfScienceDegree
ceterms:MicroCredential
ceterms:Occupation
ceterms:OpenBadge
ceterms:Organization
ceterms:PostBaccalaureateCertificate
ceterms:PostMasterCertificate
ceterms:PreApprenticeshipCertificate
ceterms:ProfessionalCertificate
ceterms:ProfessionalDoctorate
ceterms:ProficiencyCertificate
ceterms:QACredentialOrganization
ceterms:QualityAssuranceCredential
ceterms:ResearchDoctorate
ceterms:SecondaryEducationCertificate
ceterms:SecondarySchoolDiploma
ceterms:SpecialistDegree
ceterms:TechnicalLevel1Certificate
ceterms:TechnicalLevel2Certificate
ceterms:TechnicalLevel3Certificate
ceterms:WorkBasedLearningCertificate",xsd:anyURI,,,,,,,,
rdf:Property,ceterms:sced,https://purl.org/ctdl/terms/sced,SCED,School Courses for the Exchange of Data code for a course.,,"It is preferable to record the whole 12 character alphanumeric code, however it is also valid to record just the five digit subject code + course number.",vs:unstable,,,ceterms:Course,xsd:string,,,,,,,,
rdf:Property,ceterms:scheduleFrequencyType,https://purl.org/ctdl/terms/scheduleFrequencyType,Schedule Frequency Type,Type of frequency indicating the cadence at which events associated with a resource typically occur; select from an existing enumeration of such types.,This relates to the frequency of events associated with a resource once it is running.,"For information relating to how often something starts, use ceterms:offerFrequencyType.",vs:unstable,,,"ceterms:AssessmentProfile
ceterms:Course
ceterms:LearningOpportunityProfile
ceterms:LearningProgram
ceterms:ScheduledOffering",ceterms:CredentialAlignmentObject,ceterms:ScheduleFrequency,,,,,,,
rdf:Property,ceterms:scheduleTimingType,https://purl.org/ctdl/terms/scheduleTimingType,Schedule Timing Type,Type of time at which events typically occur; select from an existing enumeration of such types.,,,vs:unstable,,,"ceterms:AssessmentProfile
ceterms:Course
ceterms:LearningOpportunityProfile
ceterms:LearningProgram
ceterms:ScheduledOffering",ceterms:CredentialAlignmentObject,ceterms:ScheduleTiming,,,,,,,
rdf:Property,ceterms:scoringMethodDescription,https://purl.org/ctdl/terms/scoringMethodDescription,Scoring Method Description,Textual description of the method used to score the assessment.,,,vs:stable,,,"ceterms:AssessmentProfile
ceterms:ProcessProfile",rdf:langString,,,,,,,,
rdf:Property,ceterms:scoringMethodExample,https://purl.org/ctdl/terms/scoringMethodExample,Scoring Method Example,Webpage or online document providing an example of the method or tool used to score the assessment.,,,vs:stable,,,"ceterms:AssessmentProfile
ceterms:ProcessProfile",xsd:anyURI,,,,,,,,
rdf:Property,ceterms:scoringMethodExampleDescription,https://purl.org/ctdl/terms/scoringMethodExampleDescription,Scoring Method Example Description,Textual example of the method or tool used to score the assessment.,,,vs:stable,,,"ceterms:AssessmentProfile
ceterms:ProcessProfile",rdf:langString,,,,,,,,
rdf:Property,ceterms:scoringMethodType,https://purl.org/ctdl/terms/scoringMethodType,Scoring Method Type,Type of method used to score the assessment; select from an existing enumeration of such types.,,"Best practice for U.S. credentials and for submission to the Credential Engine Registry, is to use concepts from the ceterms:ScoringMethod vocabulary.",vs:stable,,,ceterms:AssessmentProfile,ceterms:CredentialAlignmentObject,ceterms:ScoringMethod,,,,,,,
rdf:Property,ceterms:sensoryCapabilityType,https://purl.org/ctdl/terms/sensoryCapabilityType,Sensory Capability Type,Type of required or expected sensory capability; select from an existing enumeration of such types.,"Such types may include smell, color discrimination, depth perception, and so on.",,vs:unstable,,,"ceasn:Competency
ceterms:Job
ceterms:Occupation
ceterms:Task
ceterms:WorkRole",skos:Concept,,,,,,,,
rdf:Property,ceterms:serviceType,https://purl.org/ctdl/terms/serviceType,Service Type,Type of service offered by the agent being described; select from an existing enumeration of such terms.,,Recommended best practice for credentials in the Credential Engine Registry is to use concepts from the ceterms:AgentServiceType vocabulary.,vs:stable,,,"ceterms:CredentialOrganization
ceterms:Organization
ceterms:QACredentialOrganization",ceterms:CredentialAlignmentObject,ceterms:AgentServiceType,,,,,,,
rdf:Property,ceterms:socialMedia,https://purl.org/ctdl/terms/socialMedia,Social Media,Social media access point for an agent or an agent's contact point.,,,vs:stable,,,"ceterms:ContactPoint
ceterms:CredentialOrganization
ceterms:Organization
ceterms:QACredentialOrganization",xsd:anyURI,,,,,,,,
rdf:Property,ceterms:source,https://purl.org/ctdl/terms/source,Source URL,Authoritative source of an entity's information.,Citation or description of an authoritative source from which information or description has been derived.,,vs:stable,,,"ceterms:AggregateDataProfile
ceterms:EarningsProfile
ceterms:EmploymentOutcomeProfile
ceterms:HoldersProfile",xsd:anyURI,,,,,,,,
